[10:21:41]: Xestra joined from the IP 74.111.112.184.
[12:45:41]: Borps joined from the IP 2.0.0.10.
[13:48:01]: Lhendy51 joined from the IP 73.154.195.184.
[13:55:11]: Lhendy51 joined from the IP 73.154.195.184.
[17:10:36]: Lhendy51 joined from the IP 73.154.195.184.
[17:55:47]: Lhendy51 joined from the IP 73.154.195.184.
[18:08:17]: Lhendy51 joined from the IP 73.154.195.184.
[18:17:01]: ya_boi_ehoff joined from the IP 173.233.15.90.
[18:30:50]: BenDoesMusic joined from the IP 98.111.229.85.
[18:42:57]: Lhendy51 joined from the IP 73.154.195.184.
[19:00:47]: ya_boi_ehoff joined from the IP 173.233.15.90.
[20:39:17]: Lhendy51 joined from the IP 174.229.5.27.
[22:09:04]: Comrade91 joined from the IP 24.154.121.93.
[22:12:40]: BenDoesMusic joined from the IP 98.111.229.85.
[22:26:56]: BenjaboyQ joined from the IP 96.236.218.9.
[22:31:12]: Lhendy51 joined from the IP 174.229.5.27.
[23:09:30]: ya_boi_ehoff joined from the IP 173.233.15.90.
