[02:43:03]: ya_boi_ehoff joined from the IP 173.233.15.90.
[11:09:22]: Borps joined from the IP 98.111.253.154.
[11:12:45]: Borps joined from the IP 98.111.253.154.
[12:04:32]: Borps joined from the IP 98.111.253.154.
[15:37:52]: Borps joined from the IP 98.111.253.154.
[16:50:40]: Xestra joined from the IP 74.111.112.184.
[20:22:07]: BenjaboyQ joined from the IP 96.236.218.9.
[20:45:28]: BenjaboyQ joined from the IP 96.236.218.9.
[20:52:21]: Borps joined from the IP 98.111.253.154.
[20:52:29]: BenjaboyQ joined from the IP 96.236.218.9.
[20:58:52]: Lhendy51 joined from the IP 73.154.195.184.
[21:22:22]: Lhendy51 joined from the IP 73.154.195.184.
[21:23:55]: Gabo329 joined from the IP 71.195.92.111.
[21:29:07]: Lhendy51 joined from the IP 73.154.195.184.
[22:06:47]: Gabo329 joined from the IP 71.195.92.111.
[22:39:34]: BenDoesMusic joined from the IP 98.111.229.85.
[22:50:03]: TARDIS_360 joined from the IP 73.154.210.58.
[23:00:45]: Lhendy51 joined from the IP 73.154.195.184.
[23:10:14]: Lhendy51 joined from the IP 73.154.195.184.
[23:11:10]: Lhendy51 joined from the IP 73.154.195.184.
[23:14:20]: TARDIS_360 joined from the IP 73.154.210.58.
[23:17:39]: Lhendy51 joined from the IP 73.154.195.184.
[23:28:00]: BenDoesMusic joined from the IP 98.111.229.85.
[23:29:40]: Lhendy51 joined from the IP 73.154.195.184.
[23:37:35]: BenDoesMusic joined from the IP 98.111.229.85.
[23:44:47]: Borps joined from the IP 98.111.253.154.
[23:55:51]: BenDoesMusic joined from the IP 98.111.229.85.
