[00:09:52]: patheticsteam joined from the IP 74.98.249.135.
[00:15:28]: Borps joined from the IP 98.111.253.154.
[00:37:20]: BenDoesMusic joined from the IP 98.111.229.85.
[00:42:35]: BenDoesMusic joined from the IP 98.111.229.85.
[00:42:35]: Lhendy51 joined from the IP 73.154.195.184.
[00:53:00]: ya_boi_ehoff joined from the IP 173.233.15.90.
[01:28:46]: ya_boi_ehoff joined from the IP 173.233.15.90.
[14:54:45]: BenDoesMusic joined from the IP 98.111.229.85.
[16:11:37]: Borps joined from the IP 2.0.0.10.
[16:22:38]: Borps joined from the IP 98.111.253.154.
[16:58:32]: spotttedleaf joined from the IP 108.39.135.28.
[17:05:13]: BenjaboyQ joined from the IP 96.236.218.9.
[17:27:06]: BenDoesMusic joined from the IP 98.111.229.85.
[17:28:19]: Borps joined from the IP 2.0.0.10.
[17:38:51]: Borps joined from the IP 98.111.253.154.
[18:05:09]: Xestra joined from the IP 74.111.112.184.
[18:28:33]: BenDoesMusic joined from the IP 98.111.229.85.
[20:01:12]: BenjaboyQ joined from the IP 96.236.218.9.
[20:32:33]: spotttedleaf joined from the IP 108.39.135.28.
[20:36:29]: Lhendy51 joined from the IP 73.154.195.184.
[20:55:47]: Borps joined from the IP 98.111.253.154.
[21:06:53]: Lhendy51 joined from the IP 73.154.195.184.
[21:08:11]: Lhendy51 joined from the IP 73.154.195.184.
[21:26:52]: Borps joined from the IP 98.111.253.154.
[21:31:51]: Borps joined from the IP 98.111.253.154.
[22:03:54]: BenjaboyQ joined from the IP 96.236.218.9.
[22:38:26]: TARDIS_360 joined from the IP 73.154.210.58.
[23:49:22]: ya_boi_ehoff joined from the IP 173.233.15.90.
