[10:23:46]: Xestra picked up the item COBBLESTONE.
[12:46:41]: Borps picked up the item BOW.
[12:46:41]: Borps picked up the item FLINT_AND_STEEL.
[12:46:41]: Borps picked up the item DIAMOND_PICKAXE.
[12:46:41]: Borps picked up the item TORCH.
[12:46:41]: Borps picked up the item TORCH.
[12:46:41]: Borps picked up the item TORCH.
[12:46:41]: Borps picked up the item DARK_OAK_STAIRS.
[12:46:41]: Borps picked up the item DARK_OAK_DOOR.
[12:46:41]: Borps picked up the item LAPIS_LAZULI.
[12:46:41]: Borps picked up the item LAPIS_LAZULI.
[12:46:41]: Borps picked up the item LAPIS_LAZULI.
[12:46:41]: Borps picked up the item LAPIS_LAZULI.
[12:46:41]: Borps picked up the item BUCKET.
[12:46:41]: Borps picked up the item DIAMOND_SWORD.
[12:46:41]: Borps picked up the item IRON_BARS.
[12:46:41]: Borps picked up the item COOKED_BEEF.
[12:46:41]: Borps picked up the item COOKED_BEEF.
[12:46:41]: Borps picked up the item COOKED_BEEF.
[12:46:41]: Borps picked up the item DARK_OAK_PLANKS.
[12:46:41]: Borps picked up the item DARK_OAK_PLANKS.
[12:46:41]: Borps picked up the item COBBLESTONE.
[12:46:41]: Borps picked up the item COBBLESTONE.
[12:46:41]: Borps picked up the item COBBLESTONE.
[12:46:41]: Borps picked up the item COBBLESTONE.
[12:46:41]: Borps picked up the item FLINT.
[12:46:41]: Borps picked up the item DIRT.
[12:46:41]: Borps picked up the item DIRT.
[12:46:41]: Borps picked up the item ARROW.
[12:46:41]: Borps picked up the item FIREWORK_ROCKET.
[12:46:41]: Borps picked up the item FIREWORK_ROCKET.
[12:46:41]: Borps picked up the item FIREWORK_ROCKET.
[12:46:41]: Borps picked up the item FIREWORK_ROCKET.
[12:46:41]: Borps picked up the item PLAYER_HEAD.
[12:46:41]: Borps picked up the item DIAMOND_SHOVEL.
[12:46:41]: Borps picked up the item DIAMOND_BOOTS.
[12:46:41]: Borps picked up the item STONE_BRICK_STAIRS.
[12:46:41]: Borps picked up the item STONE_BRICK_STAIRS.
[12:46:41]: Borps picked up the item STONE_BRICK_STAIRS.
[12:46:41]: Borps picked up the item DIAMOND_AXE.
[12:46:41]: Borps picked up the item STONE_BRICKS.
[12:46:41]: Borps picked up the item DIAMOND_LEGGINGS.
[12:46:41]: Borps picked up the item COOKED_COD.
[12:46:41]: Borps picked up the item WATER_BUCKET.
[12:46:41]: Borps picked up the item DARK_OAK_LOG.
[12:46:41]: Borps picked up the item DARK_OAK_LOG.
[12:46:41]: Borps picked up the item ELYTRA.
[12:46:41]: Borps picked up the item Silky (DIAMOND_PICKAXE).
[12:46:41]: Borps picked up the item STONE_BRICKS.
[12:46:41]: Borps picked up the item STONE_BRICKS.
[12:46:41]: Borps picked up the item STONE_BRICKS.
[12:46:41]: Borps picked up the item STONE_BRICKS.
[12:46:41]: Borps picked up the item COBBLESTONE.
[12:46:41]: Borps picked up the item COBBLESTONE.
[12:46:41]: Borps picked up the item COBBLESTONE.
[12:46:41]: Borps picked up the item DIAMOND_HELMET.
[12:46:41]: Borps picked up the item LAPIS_LAZULI.
[12:46:41]: Borps picked up the item LAPIS_LAZULI.
[12:46:41]: Borps picked up the item LAPIS_LAZULI.
[12:46:41]: Borps picked up the item CRAFTING_TABLE.
[12:46:41]: Borps picked up the item GOLD_ORE.
[13:49:59]: Lhendy51 picked up the item TORCH.
[13:50:02]: Lhendy51 picked up the item TORCH.
[13:50:10]: Lhendy51 picked up the item TORCH.
[13:50:12]: Lhendy51 picked up the item TORCH.
[13:51:38]: Lhendy51 picked up the item TORCH.
