[00:00:02]: Lhendy51 picked up the item JUNGLE_SLAB.
[00:00:11]: Austin_Powers_ picked up the item DIRT.
[00:00:17]: Austin_Powers_ picked up the item ROTTEN_FLESH.
[00:00:35]: Austin_Powers_ picked up the item STRING.
[00:00:42]: Austin_Powers_ picked up the item ARROW.
[00:00:42]: Austin_Powers_ picked up the item DIAMOND_LEGGINGS.
[00:00:54]: captainasia_ picked up the item COBBLESTONE.
[00:00:55]: captainasia_ picked up the item DIAMOND_LEGGINGS.
[00:00:55]: captainasia_ picked up the item ROTTEN_FLESH.
[00:00:55]: captainasia_ picked up the item DIAMOND_HELMET.
[00:00:56]: captainasia_ picked up the item DIAMOND_CHESTPLATE.
[00:00:56]: captainasia_ picked up the item SHIELD.
[00:01:00]: captainasia_ picked up the item STONE_BRICK_SLAB.
[00:01:00]: captainasia_ picked up the item IRON_BLOCK.
[00:01:00]: captainasia_ picked up the item IRON_HELMET.
[00:01:00]: captainasia_ picked up the item WHEAT_SEEDS.
[00:01:00]: captainasia_ picked up the item NETHER_WART.
[00:01:00]: captainasia_ picked up the item TORCH.
[00:01:00]: captainasia_ picked up the item LADDER.
[00:01:00]: captainasia_ picked up the item DANDELION.
[00:01:00]: captainasia_ picked up the item GOLDEN_LEGGINGS.
[00:01:00]: captainasia_ picked up the item IRON_HELMET.
[00:01:01]: captainasia_ picked up the item BIRCH_SLAB.
[00:01:01]: captainasia_ picked up the item STRING.
[00:01:01]: captainasia_ picked up the item BAMBOO.
[00:01:01]: captainasia_ picked up the item BAMBOO.
[00:01:01]: captainasia_ picked up the item OAK_SAPLING.
[00:01:01]: captainasia_ picked up the item MAGENTA_DYE.
[00:01:01]: captainasia_ picked up the item TORCH.
[00:01:01]: captainasia_ picked up the item BOW.
[00:01:01]: captainasia_ picked up the item STICK.
[00:01:01]: captainasia_ picked up the item STONE_BRICK_SLAB.
[00:01:01]: captainasia_ picked up the item OAK_SIGN.
[00:01:01]: captainasia_ picked up the item IRON_HELMET.
[00:01:01]: captainasia_ picked up the item RAIL.
[00:01:01]: captainasia_ picked up the item SEA_LANTERN.
[00:01:01]: captainasia_ picked up the item SHEARS.
