[14:46:26]: TARDIS_360 dropped the item LIGHT_GRAY_TERRACOTTA.
[14:46:58]: TARDIS_360 dropped the item BROWN_TERRACOTTA.
[14:46:58]: TARDIS_360 dropped the item BROWN_TERRACOTTA.
[14:46:59]: TARDIS_360 dropped the item BROWN_TERRACOTTA.
[14:46:59]: TARDIS_360 dropped the item BROWN_TERRACOTTA.
[14:46:59]: TARDIS_360 dropped the item BROWN_TERRACOTTA.
[14:46:59]: TARDIS_360 dropped the item BROWN_TERRACOTTA.
[14:46:59]: TARDIS_360 dropped the item BROWN_TERRACOTTA.
[14:48:05]: TARDIS_360 dropped the item ROTTEN_FLESH.
[14:48:05]: TARDIS_360 dropped the item ROTTEN_FLESH.
[14:48:06]: TARDIS_360 dropped the item ROTTEN_FLESH.
[14:48:06]: TARDIS_360 dropped the item ROTTEN_FLESH.
[14:48:06]: TARDIS_360 dropped the item ROTTEN_FLESH.
[14:48:06]: TARDIS_360 dropped the item ROTTEN_FLESH.
[14:48:06]: TARDIS_360 dropped the item ROTTEN_FLESH.
[14:48:06]: TARDIS_360 dropped the item ROTTEN_FLESH.
[14:48:09]: TARDIS_360 dropped the item WHEAT_SEEDS.
[15:23:57]: Lhendy51 dropped the item STONE.
[15:23:57]: Lhendy51 dropped the item STONE.
[15:23:58]: Lhendy51 dropped the item STONE.
[15:26:48]: Lhendy51 dropped the item IRON_ORE.
[15:27:19]: Lhendy51 dropped the item DIORITE.
[15:27:19]: Lhendy51 dropped the item DIORITE.
[15:27:19]: Lhendy51 dropped the item DIORITE.
[15:28:49]: Lhendy51 dropped the item SPIDER_EYE.
[15:32:11]: TARDIS_360 dropped the item WHEAT_SEEDS.
[15:32:12]: TARDIS_360 dropped the item STRING.
[15:32:21]: TARDIS_360 dropped the item ROTTEN_FLESH.
[15:32:22]: TARDIS_360 dropped the item ROTTEN_FLESH.
[15:32:22]: TARDIS_360 dropped the item ROTTEN_FLESH.
[15:32:22]: TARDIS_360 dropped the item ROTTEN_FLESH.
[15:32:22]: TARDIS_360 dropped the item ROTTEN_FLESH.
[15:32:22]: TARDIS_360 dropped the item ROTTEN_FLESH.
[15:32:22]: TARDIS_360 dropped the item ROTTEN_FLESH.
[15:32:22]: TARDIS_360 dropped the item ROTTEN_FLESH.
[16:09:50]: TARDIS_360 dropped the item IRON_NUGGET.
[16:09:50]: TARDIS_360 dropped the item BEEF.
[16:09:51]: TARDIS_360 dropped the item BOW.
[16:09:52]: TARDIS_360 dropped the item DARK_OAK_DOOR.
[16:09:53]: TARDIS_360 dropped the item LEATHER_LEGGINGS.
