[01:29:45]: Austin_Powers_ joined from the IP 73.154.194.210.
[07:52:02]: thebrendan joined from the IP 71.61.224.181.
[08:22:02]: thebrendan joined from the IP 71.61.224.181.
[13:18:01]: captainasia_ joined from the IP 24.154.114.227.
[15:27:15]: thebrendan joined from the IP 71.61.224.181.
[16:07:17]: thebrendan joined from the IP 71.61.224.181.
[16:42:23]: Lhendy51 joined from the IP 73.154.195.184.
[18:56:59]: thebrendan joined from the IP 71.61.224.181.
[18:58:47]: thebrendan joined from the IP 71.61.224.181.
[20:27:38]: BenjaboyQ joined from the IP 96.236.218.9.
[20:28:36]: BenjaboyQ joined from the IP 96.236.218.9.
[20:41:54]: thebrendan joined from the IP 71.61.224.181.
[20:52:16]: Boeing2847 joined from the IP 98.111.253.171.
[21:28:37]: BenjaboyQ joined from the IP 96.236.218.9.
[21:56:55]: captainasia_ joined from the IP 24.154.114.227.
[22:34:20]: Lhendy51 joined from the IP 73.154.195.184.
[23:30:39]: Lhendy51 joined from the IP 73.154.195.184.
